,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Chi0n,1.0,2.414213562373095,3.82842712474619,5.242640687119286,4.447213595499958,7.275640720246148,10.10406784499234,5.154320376686505,6.5685339390596,7.982747501432696,7.654320376686506,7.541071722634635,5.275640720246148,5.982747501432696,7.396961063805792,8.811174626178888,5.982747501432696,6.689854282619242,8.104067844992338,9.518281407365434,6.104067844992338,7.518281407365434,9.802738457741608,4.333964941448087,5.041071722634635,6.455285285007729,7.869498847380825,6.256234510565715,7.670448072938809,9.084661635311905,7.394427190999917,9.781178536948048,7.70382826775842,10.09057961370655,12.167929882896177,14.554681228844307,5.529568634023505,10.568502328308254,11.60746763334435,10.288854381999831
Chi0v,1.0,2.414213562373095,3.82842712474619,5.242640687119286,4.447213595499958,7.275640720246148,10.10406784499234,5.154320376686505,6.5685339390596,7.982747501432696,7.654320376686506,7.541071722634635,5.275640720246148,5.982747501432696,7.396961063805792,8.811174626178888,5.982747501432696,6.689854282619242,8.104067844992338,9.518281407365434,6.104067844992338,7.518281407365434,9.802738457741608,4.333964941448087,5.041071722634635,6.455285285007729,7.869498847380825,6.256234510565715,7.670448072938809,9.084661635311905,7.394427190999917,9.781178536948048,7.70382826775842,10.09057961370655,12.167929882896177,14.554681228844307,6.346065214951231,11.38499890923598,12.501894824344266,11.183281572999748
Chi1,0.0,1.4142135623730951,2.414213562373095,3.414213562373095,2.0,4.242640687119286,6.242640687119286,2.5606601717798214,3.5606601717798214,4.560660171779821,3.7071067811865475,5.078298261984863,3.207106781186548,3.767766952966369,4.767766952966369,5.76776695296637,3.707106781186548,4.267766952966369,5.267766952966369,6.26776695296637,4.414213562373096,5.414213562373095,6.846065214951232,3.393846850117352,3.931851652578137,4.931851652578137,5.931851652578137,4.253218857624055,5.253218857624055,6.253218857624055,4.553418012614795,7.125897657686229,5.715214055163269,8.287693700234703,9.698377302757663,12.270856947829097,3.3460652149512318,9.449489742783179,9.815515146567616,5.773502691896258
Chi1n,0.0,1.2071067811865475,2.2071067811865475,3.2071067811865475,1.7888543819998317,4.093338188813542,6.093338188813542,2.364975333703259,3.364975333703259,4.364975333703259,3.511421943109985,3.922105545632945,3.0268827230335913,3.603003674737019,4.603003674737018,5.603003674737018,3.5268827230335913,4.103003674737018,5.103003674737019,6.103003674737018,4.264911064067351,5.264911064067351,6.696762716645488,2.2969447083276138,2.8730656600310414,3.8730656600310414,4.873065660031041,3.2674928510309575,4.2674928510309575,5.2674928510309575,3.5388543819998324,5.199537984522792,4.1162046511894586,5.776888253712419,6.860221587045752,8.52090518956871,2.987345747344081,6.344423243264672,6.850084796318773,4.506888370749727
Chi1v,0.0,1.2071067811865475,2.2071067811865475,3.2071067811865475,1.7888543819998317,4.093338188813542,6.093338188813542,2.364975333703259,3.364975333703259,4.364975333703259,3.511421943109985,3.922105545632945,3.0268827230335913,3.603003674737019,4.603003674737018,5.603003674737018,3.5268827230335913,4.103003674737018,5.103003674737019,6.103003674737018,4.264911064067351,5.264911064067351,6.696762716645488,2.2969447083276138,2.8730656600310414,3.8730656600310414,4.873065660031041,3.2674928510309575,4.2674928510309575,5.2674928510309575,3.5388543819998324,5.199537984522792,4.1162046511894586,5.776888253712419,6.860221587045752,8.52090518956871,4.719396554912958,7.569168114656261,9.086152773818561,6.1541019662496845
Chi2n,0.0,0.4999999999999999,1.2071067811865472,1.9142135623730947,2.6832815729997477,2.6065518505672247,4.236067977499788,2.606551850567225,3.36748427289364,4.074591054080187,5.009098139338629,3.934036527212296,3.0900518340037935,3.0900518340037935,3.8509842563302077,4.558091037516755,3.4436052245970674,3.443605224597067,4.204537646923481,4.911644428110028,3.6502815398728825,4.35738832105943,5.528778956848487,1.5409616441839065,1.7059400023765325,2.4668724247029474,3.1739792058894944,2.2422764046045436,3.003208826930958,3.710315608117505,2.836067977499791,3.9784865835342504,3.153961919134891,4.296380525169351,5.09451198731869,6.236930593353149,1.4783978394802335,4.245343806603323,5.012878066685268,4.057182539299807
Chi2v,0.0,0.4999999999999999,1.2071067811865472,1.9142135623730947,2.6832815729997477,2.6065518505672247,4.236067977499788,2.606551850567225,3.36748427289364,4.074591054080187,5.009098139338629,3.934036527212296,3.0900518340037935,3.0900518340037935,3.8509842563302077,4.558091037516755,3.4436052245970674,3.443605224597067,4.204537646923481,4.911644428110028,3.6502815398728825,4.35738832105943,5.528778956848487,1.5409616441839065,1.7059400023765325,2.4668724247029474,3.1739792058894944,2.2422764046045436,3.003208826930958,3.710315608117505,2.836067977499791,3.9784865835342504,3.153961919134891,4.296380525169351,5.09451198731869,6.236930593353149,4.435193518440698,6.271929804672213,8.574532584918048,8.488266044899673
Chi3n,0.0,0.0,0.6035533905932736,1.1035533905932735,0.0,2.6832815729997463,2.7917937871009433,0.9486832980505137,1.1824876668516293,1.6824876668516293,0.9486832980505138,1.4997404969378012,1.7768827230335913,2.409338255067267,2.6973987309189806,3.1973987309189806,2.0268827230335913,2.659338255067267,2.9473987309189806,3.4473987309189806,3.029822128134703,3.5298221281347035,4.485213257851429,0.8646298055517427,1.1424542908997732,1.5471720825785162,2.0471720825785162,1.737006690311198,2.1488887388179863,2.6488887388179863,2.500657780874822,3.197235542345654,2.5752607687102005,3.2718385301810327,3.9603963464141168,4.656974107884952,1.2247448713915892,2.9367222766963295,3.817774139028844,2.2733126291998995
Chi3v,0.0,0.0,0.6035533905932736,1.1035533905932735,0.0,2.6832815729997463,2.7917937871009433,0.9486832980505137,1.1824876668516293,1.6824876668516293,0.9486832980505138,1.4997404969378012,1.7768827230335913,2.409338255067267,2.6973987309189806,3.1973987309189806,2.0268827230335913,2.659338255067267,2.9473987309189806,3.4473987309189806,3.029822128134703,3.5298221281347035,4.485213257851429,0.8646298055517427,1.1424542908997732,1.5471720825785162,2.0471720825785162,1.737006690311198,2.1488887388179863,2.6488887388179863,2.500657780874822,3.197235542345654,2.5752607687102005,3.2718385301810327,3.9603963464141168,4.656974107884952,3.674234614174766,5.167432419997154,7.810588006994698,6.819937887599695
Chi4n,0.0,0.0,0.24999999999999992,0.6035533905932735,0.0,1.3416407864998734,2.568186989350964,0.0,0.6324555320336757,1.0129217431968829,1.4230249470757708,1.1311423840198032,1.1914725264086228,1.4150793241586017,1.8622929196585594,2.2427591308217667,1.3682492217052593,1.5918560194552385,2.039069614955196,2.4195358261184032,2.4596747752497676,2.8132281658430416,3.4961562010778486,0.4847346205747094,0.6451366619778641,0.9240774186434324,1.3045436298066397,0.9330493344624458,1.1636124335515645,1.5440786447147719,1.1958203932499372,2.0026376806108552,1.6050569324012494,2.4591278962003678,2.719090813126194,3.5818097999246077,0.6123724356957945,2.0779822643864523,2.625623099310247,2.2733126291998995
