nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
2697,5.09162221,8.29211288,1.4966986000000002,9.844991591833338,16.76047937,4.341820360000001,0.91803209,17.33804647787564,26.85162805,4.77658602,0.35694057999999984,27.275503836220093,4.99952647,8.72687854,0.93560709,10.100942263125825
2698,5.14114655,8.284271649999999,1.5485611000000001,9.872111531987663,16.86940682,4.280876419999999,0.9430128999999999,17.4296317434288,26.94893231,4.768023899999999,0.3132549499999999,27.36927352385577,4.93837894,8.77141913,0.91880315,10.107896880044603
2699,5.19177376,8.26285622,1.61691807,9.891599048309113,16.97700538,4.25942961,0.91061011,17.526855480876424,27.04822546,4.75496214,0.2816903500000001,27.464440918050904,4.87944632,8.75838875,0.98799831,10.074448399116001
2700,5.28229067,8.24661305,1.7143276900000002,9.942240237868933,17.08821428,4.26026227,0.88915708,17.633703587201857,27.18413633,4.71880566,0.25930162,27.59187619925489,4.81363138,8.70515644,1.08447223,10.00634177534604
2701,5.33805731,8.26816515,1.74301094,9.994773530674852,17.17857408,4.17731178,0.9201596000000001,17.70310805533443,27.29821059,4.61387836,0.29960871999999994,27.686999482102866,4.7815791999999995,8.70473173,1.1224600599999999,9.994787177495908
2702,5.3485449,8.23795504,1.75038617,9.976707249012806,17.1566876,4.09398008,0.8657947699999999,17.65962068910853,27.37009351,4.5174186899999995,0.34436212999999993,27.74252468041587,4.864861009999999,8.661393649999999,1.22895353,10.009842125916771
2703,5.29736126,8.120728139999999,1.86150565,9.872865092146178,17.22530677,4.048933440000001,0.79688913,17.71270977596794,27.368962959999998,4.50038665,0.28395152999999995,27.737956701544174,4.84629493,8.57218135,1.34856805,9.939190280466127
2704,5.31799084,8.0252669,1.9331715800000002,9.819525841316333,17.32794565,3.99230016,0.79536966,17.79968465768252,27.428462969999998,4.513988970000001,0.2764988799999999,27.798797257230106,4.78252648,8.546955709999999,1.4143008,9.895618130944799
2705,5.40210961,8.01835342,2.00820035,9.87469738534909,17.36928734,3.9690070900000003,0.72519676,17.83174333374808,27.56259261,4.51407103,0.26546863,27.93105480002905,4.7911956600000005,8.56341736,1.5484722199999998,9.934054507101516
2706,5.38942849,8.00917548,2.10889779,9.881309690872147,17.430675119999997,3.9225081499999996,0.68649599,17.879759004810143,27.586735859999997,4.57371281,0.17988208000000006,27.963891035413383,4.76663225,8.66038014,1.6022838799999999,10.014503522799037
2707,5.4204592599999994,8.02846079,2.13036094,9.918467572189005,17.45054171,3.9648052299999996,0.6025808699999999,17.905423485334687,27.63593475,4.6382679,0.12246899999999994,28.02273036794218,4.76493378,8.70192346,1.65024907,10.057404626667822
2708,5.50165727,8.06783019,2.16173263,10.001560111043977,17.505550210000003,4.03033128,0.4599948600000001,17.969403263675844,27.75615192,4.67510063,0.024895710000000015,28.14713404776981,4.748944440000001,8.71259954,1.7266334799999998,10.071897895276344
2709,5.60372533,8.10892103,2.1102892,10.080161623332064,17.5831275,3.9999668699999997,0.4984848500000001,18.039251502987405,27.9111329,4.6870407,0.008932180000000178,28.30193933405904,4.724280070000001,8.79599486,1.6207365299999998,10.115094396822112
2710,5.62142575,8.09694249,2.04858353,10.067651147537727,17.60387595,4.041741480000001,0.5036089499999999,18.068916531675633,27.9691801,4.736367830000001,0.0239563399999998,28.367389544925018,4.7438784,8.79156884,1.5689309200000001,10.112250450526705
2711,5.59209072,8.017997170000001,2.10218714,9.99894734511686,17.643419270000003,4.08445826,0.44140655000000006,18.115404565095215,27.959814050000002,4.84496695,0.039150949999999796,28.376512105155836,4.724304060000001,8.778505860000001,1.62162964,10.100044389739748
2712,5.56719209,8.0006614,2.1789843500000003,9.987601483937645,17.67378197,4.04721659,0.4482068800000001,18.13679742007248,27.982705250000002,4.83814034,0.08780564000000002,28.39801234044962,4.74173119,8.79158515,1.64297183,10.123010449569481
2713,5.61024951,8.02741724,2.27250949,10.053786674265798,17.65283067,3.9264498199999998,0.42123784,18.089137076447805,28.10175799,4.73577965,0.13058426999999995,28.498306322893196,4.83867781,8.83674707,1.7206873800000002,10.220649039460813
2714,5.60626982,8.04548386,2.3703965,10.088550510523083,17.622364,3.8037641100000004,0.4808123900000001,18.034619899166092,28.16318071,4.67527486,0.15477277999999983,28.54902620640664,4.93454689,8.91699461,1.73481133,10.337897089595838
2715,5.50700818,8.0844758,2.41845797,10.076449126950877,17.65482765,3.75202612,0.47923218999999995,18.05547847187382,28.10954044,4.63920088,0.11674534999999997,28.49003471443541,4.94770461,8.97165056,1.8224804300000002,10.406331226532075
2716,5.51687432,8.14018006,2.45679961,10.135792914004963,17.61584415,3.69312344,0.43620775999999994,18.00409406413027,28.16112129,4.61471051,0.07237307999999998,28.53681032042482,5.02840282,9.06176713,1.94821877,10.544952101091436
2717,5.558282800000001,8.21656381,2.48483021,10.226475917983976,17.61241656,3.5998386999999994,0.48945275999999993,17.983203823380627,28.2288719,4.54711237,0.06723120000000016,28.592830564431186,5.05817254,9.16383748,1.9281462500000002,10.64325019745622
2718,5.61321989,8.26011591,2.4931858399999998,10.293382729351087,17.62114394,3.5144493599999995,0.51576129,17.97559672907872,28.28429193,4.495901379999999,0.10991072000000002,28.63959461246824,5.0499281,9.241567929999999,1.86751383,10.695604682542045
2719,5.6130068699999995,8.173896809999999,2.54984886,10.23817192627857,17.58630422,3.5532201,0.40679105000000004,17.94627950734619,28.26436532,4.5633721199999995,0.26364308000000003,28.63159478131883,5.065054229999999,9.184048829999998,1.87941473,10.655220644923604
2720,5.5830483,8.08930239,2.6079025700000003,10.168991950611684,17.57125044,3.54653937,0.27361138000000007,17.927678229916605,28.21437244,4.63627129,0.42199282000000005,28.5958721076599,5.0600737,9.17903431,1.9122983699999998,10.654384157214041
2721,5.64110654,8.09956962,2.61871469,10.211893930729966,17.437964,3.5109863,0.17533707999999992,17.788770512761882,28.240612940000002,4.62941025,0.4538998300000001,28.621140500430354,5.1615424,9.217993569999999,1.98947778,10.750392887735444
2722,5.65650945,8.13020089,2.70998565,10.268412140779215,17.350852370000002,3.4583449300000004,0.16364604000000005,17.6929083998872,28.243074370000002,4.595726470000001,0.4720609899999999,28.618434500068126,5.23571255,9.26758243,2.07427862,10.844510214687489
2723,5.596685089999999,8.106002310000001,2.76910194,10.23220811948552,17.38606712,3.3819655599999994,0.26160825,17.713877605613042,28.16250479,4.621129689999999,0.42965708000000014,28.54235661021995,5.179752580000001,9.34516644,2.07783661,10.884823267245785
2724,5.66729475,8.1325435,2.74720883,10.286090118135258,17.38212385,3.3504592900000003,0.29854961,17.704602194353797,28.1863662,4.596586530000001,0.33239240999999997,28.56064306003115,5.1369476,9.37867074,2.11626681,10.900746795774383
2725,5.7734545,8.18168267,2.77392227,10.39073399410025,17.312478419999998,3.27270987,0.30126491,17.62167130218239,28.1989348,4.55808579,0.3098255299999999,28.56662496310495,5.11300188,9.46705859,2.16283183,10.974781460067325
2726,5.8614446000000004,8.16619374,2.79668687,10.433825302683324,17.25033998,3.179349,0.33885791,17.5441532760221,28.17597289,4.58080779,0.28956952999999985,28.54738339707589,5.06418831,9.56765253,2.16825943,11.040259377828946
2727,5.90717875,8.09763633,2.8611247,10.423651445934746,17.20654445,3.2075700299999994,0.2428071799999999,17.50464603280625,28.10450346,4.647387869999999,0.34785374000000013,28.488284100166634,4.99078026,9.53745417,2.27046378,11.001178365281964
2728,5.97145088,8.01240101,2.8551233500000004,10.392714991811188,17.17996031,3.2143059099999998,0.20724435000000008,17.4792948644058,28.046029739999998,4.723702299999999,0.38465802000000004,28.44364796203785,4.89461855,9.5217974,2.26322098,10.942764078648642
2729,6.1102698,8.05234337,2.7558914999999997,10.477145066140261,17.175313459999998,3.18798987,0.20124823999999997,17.46983608150296,28.061079659999997,4.68208598,0.3447438799999999,28.451097854947104,4.7754964,9.54643948,2.20989938,10.900620527357148
2730,6.19041371,8.08105469,2.73326555,10.540180613753437,17.08792313,3.1343928399999994,0.13430138000000003,17.373530793506028,28.046393639999998,4.681737709999999,0.35780923,28.43671731477003,4.7680568,9.62839956,2.24115494,10.9755737526619
2731,6.158803819999999,8.01850696,2.73186107,10.473317681928519,17.11234936,3.16220823,0.14067682000000004,17.40263921008125,28.01092809,4.81717125,0.3638895000000001,28.42445508507046,4.7397749099999995,9.67346998,2.22729475,11.000105888345088
2732,6.1426412500000005,8.00167708,2.7236589,10.448789184510716,17.16848692,3.17830851,0.11733945999999995,17.460594395833795,28.02400244,4.89600407,0.3399431800000001,28.4505031585772,4.71287427,9.719372640000001,2.2663762600000004,11.03693117455664
2733,6.163448870000001,8.03222356,2.68691111,10.474932391379182,17.08174868,3.1952507800000003,0.11211181000000003,17.378386995682707,28.04352921,4.88870677,0.26973701000000005,28.46773160070417,4.79833166,9.72567955,2.30506229,11.08720621209088
2734,6.08893535,7.9806438,2.66405905,10.385712290490478,17.048596179999997,3.1722130699999997,0.18877126,17.342237515926,27.946331049999998,4.92231402,0.20333731,28.377243356769533,4.808799520000001,9.73074475,2.27195048,11.08935098176521
2735,6.03694158,7.891830540000001,2.6578893199999998,10.285427971153153,17.06836514,3.1527051499999996,0.22122571000000002,17.358501638389438,27.88806434,4.952145829999999,0.13087779,28.32463609562321,4.78275762,9.69127122,2.30578582,11.050436939731453
2736,6.070675550000001,7.87608955,2.63250935,10.286690124176213,17.11945473,3.1756846099999994,0.26862613999999996,17.41358271573663,27.91264442,4.9080682499999995,0.05732822999999998,28.340926925384252,4.7225141399999995,9.60847319,2.30655498,10.95194470042702
2737,6.13978889,7.97411593,2.56006132,10.384481038598286,17.219719069999996,3.05261054,0.3287616899999999,17.49129041001413,27.96550344,4.763076,0.03690196999999995,28.36825051690389,4.60599548,9.68458139,2.2682016000000003,10.961343419469957
