nstep,rx_o1n1,ry_o1n1,rz_o1n1,r_o1n1,rx_o2n2,ry_o2n2,rz_o2n2,r_o2n2,rx_o2n1,ry_o2n1,rz_o2n1,r_o2n1,rx_o1n2,ry_o1n2,rz_o1n2,r_o1n2
23,3.9870309300000004,4.8417945200000005,0.16224970000000027,6.274210291011037,1.4708483,6.64030601,0.060402469999999986,6.801522409463716,6.81645167,4.8712225700000005,3.8790153800000002,9.2325285276678,12.2743309,3.07271108,3.7771681499999996,13.2048381912549
24,3.85223268,4.87788575,0.08181846000000004,6.2161209987668204,1.5286603800000003,6.62332463,0.11400652,6.798399017294358,6.88032458,4.80906876,3.78550855,9.208478899725145,12.26121764,3.06362988,3.81769661,13.202200326577442
25,3.7887722999999998,4.92788163,0.016988279999999634,6.2160358350154405,1.5142640899999997,6.57929005,0.09567866000000003,6.751978058485671,6.85947063,4.7368505899999995,3.71133598,9.12491674440148,12.16250702,3.08544217,3.79002636,13.107663033716515
26,3.8199941799999992,5.00112248,0.040439209999999726,6.293267587263443,1.5184778300000001,6.46731605,0.12661080000000002,6.644394788501489,6.78140237,4.63420702,3.66554614,8.994416118488614,12.119874379999999,3.16801345,3.8325961499999996,13.100246465443163
27,3.79715679,5.07157354,0.06629467,6.335901896552822,1.53594646,6.39784381,0.22386000000000006,6.583437570505386,6.78445713,4.5248544200000005,3.66504664,8.940678550556253,12.11756038,3.1985841500000003,3.95520131,13.141911106464033
28,3.798477870000001,5.0469067899999995,0.1259926,6.317877524223037,1.5415809600000001,6.41252551,0.25897868999999996,6.600304934963945,6.78759118,4.52131539,3.6526345100000004,8.936186308840455,12.12765001,3.15569667,4.0376058,13.1658868609105
29,3.7799382700000006,5.08475484,0.23147721999999993,6.340051010149127,1.55035276,6.37237397,0.22914056000000005,6.562259450083507,6.81948229,4.47913226,3.6201570199999997,8.926001420325433,12.149773320000001,3.19151313,4.0807747999999995,13.208159249292132
30,3.8179639499999993,5.17299203,0.3043179300000003,6.43656000270817,1.5608990400000002,6.31778411,0.15786140000000004,6.509663746711605,6.8171003599999995,4.4154389,3.60331833,8.885542244863807,12.19596335,3.2706468199999996,4.06549766,13.265252499639228
31,3.829421850000001,5.148483919999999,0.29841697999999983,6.423426739187449,1.5877484799999997,6.2762495,0.11780146000000002,6.475039011926545,6.827128999999999,4.44256004,3.6453137300000003,8.923807611203433,12.24429933,3.31479446,4.0615321699999996,13.319413349041692
32,3.7828909700000004,5.09739218,0.29623328000000004,6.3546380922765575,1.65573361,6.2541709700000006,0.11488885000000004,6.4706497167694605,6.8396745899999996,4.44809649,3.70144086,8.959206176973467,12.27829917,3.2913176999999996,4.11256299,13.36048565947637
33,3.7895075799999995,5.1036877,0.31377332000000013,6.36446773378203,1.6984186300000002,6.22773212,0.04953426000000005,6.4553641914399,6.75722264,4.359240349999999,3.74812822,8.871950145777255,12.24514885,3.2351959299999997,4.1114358,13.315932840085463
34,3.840731879999999,5.0729627100000005,0.34554596999999987,6.372250312760958,1.8010234800000002,6.136149130000001,0.011628019999999961,6.39500953337524,6.627568,4.30662763,3.77887844,8.760800271801672,12.26932336,3.2434412100000003,4.13605243,13.347776455225674
35,3.8497449700000006,5.04445892,0.3543275699999997,6.355521234050751,1.9162333900000001,6.09679166,0.03077814999999995,6.390912786520707,6.5291725,4.27885056,3.8341167800000004,8.69707463071613,12.29515086,3.2265178199999998,4.2192225,13.393393536271626
36,3.79405886,4.99400703,0.3579264900000001,6.281966270291304,2.0179654300000003,6.138182069999999,0.03132219999999997,6.461458402044959,6.47358281,4.288481249999999,3.89876184,8.688998199710323,12.2856071,3.14430621,4.28801053,13.386927865018391
37,3.7291527800000006,4.94512168,0.41551735,6.207532807383202,2.0619368799999997,6.0947729299999995,0.056451740000000084,6.43436302708465,6.44730739,4.2817924099999995,3.89261335,8.663368716387433,12.23839705,3.1321411599999998,4.36458244,13.3655621084626
38,3.7068489500000004,5.01434802,0.4387736499999999,6.251154894875693,2.08703035,6.00290551,0.004287640000000037,6.355359047895426,6.4430062800000005,4.1579156,3.89648494,8.601347972759248,12.236885580000001,3.16935811,4.33954623,13.364799325457227
39,3.6981480500000004,5.00717773,0.38907959000000014,6.236947229765644,2.10257894,5.94868814,0.08822788999999998,6.309953482117126,6.449215280000001,4.1292539999999995,3.977333,8.629153731229412,12.24994227,3.18774359,4.278184700000001,13.361349450606886
40,3.668728990000001,4.93926193,0.32586007000000006,6.161336348588199,2.0685908399999997,5.92429138,0.11926479999999995,6.276186781079196,6.47777798,4.17076433,4.066991,8.711905557836026,12.21509781,3.18573488,4.27358627,13.327455152453071
41,3.665414620000001,4.99310881,0.2818635600000001,6.200471513640332,1.99376983,5.885429869999999,0.15790199000000005,6.2159742541416945,6.49977143,4.05580252,4.12914076,8.703238830422613,12.15895588,3.16348146,4.25310233,13.264113331429348
42,3.75772119,4.9746021,0.34472325999999986,6.24387449594276,1.98109637,5.757870909999999,0.17124892999999985,6.091563546371124,6.442148339999999,3.96199597,4.07752817,8.592143113217128,12.1809659,3.1787271599999998,4.2510025,13.28725926855086
43,3.8114289700000006,4.90634429,0.42368746,6.227255908434478,2.0139970299999996,5.64737852,0.2041460300000001,5.99922859929266,6.39532071,3.87742149,3.98836278,8.475940187363172,12.22074671,3.13638726,4.20790421,13.300001241924825
