rattling1 for OH1 starts here
368   481        -1.77813517      0.44600843     -0.49752668
369   481        -1.81260360      0.48125438     -0.54903155
370   481        -1.82263973      0.57268919     -0.61420588
371   481        -1.82546481      0.61971688     -0.71754192
372   481        -1.83051987      0.61300711     -0.85783388
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
357   481        -1.55629915      0.41173246      0.36629181
358   481        -1.55366645      0.37906491      0.29544210
359   481        -1.54221190      0.36655024      0.22605299
360   481        -1.53124740      0.38352108      0.16430058
361   481        -1.54060533      0.43508583      0.10605620
362   481        -1.59550225      0.49380533      0.04855622
363   481        -1.66858176      0.55042461     -0.01280626
364   481        -1.71406262      0.58293602     -0.08047455
365   481        -1.71698064      0.58635021     -0.17626046
366   481        -1.72031388      0.54551346     -0.29903899
367   481        -1.74293168      0.48797930     -0.41884639
368   481        -1.77813517      0.44600843     -0.49752668
369   481        -1.81260360      0.48125438     -0.54903155
370   481        -1.82263973      0.57268919     -0.61420588
371   481        -1.82546481      0.61971688     -0.71754192
372   481        -1.83051987      0.61300711     -0.85783388
373   481        -1.82431198      0.65823363     -0.96142892
374   481        -1.81312365      0.75657856     -1.04201868
375   481        -1.82130656      0.85209997     -1.07664792
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
361   481        -1.54060533      0.43508583      0.10605620
362   481        -1.59550225      0.49380533      0.04855622
363   481        -1.66858176      0.55042461     -0.01280626
364   481        -1.71406262      0.58293602     -0.08047455
365   481        -1.71698064      0.58635021     -0.17626046
366   481        -1.72031388      0.54551346     -0.29903899
367   481        -1.74293168      0.48797930     -0.41884639
368   481        -1.77813517      0.44600843     -0.49752668
369   481        -1.81260360      0.48125438     -0.54903155
370   481        -1.82263973      0.57268919     -0.61420588
371   481        -1.82546481      0.61971688     -0.71754192
372   481        -1.83051987      0.61300711     -0.85783388
373   481        -1.82431198      0.65823363     -0.96142892
374   481        -1.81312365      0.75657856     -1.04201868
375   481        -1.82130656      0.85209997     -1.07664792
376   481        -1.84238149      0.86667907     -1.12070520
377   481        -1.87829065      0.80895255     -1.13849617
378   481        -1.92095488      0.77512042     -1.12569994
379   481        -1.96061109      0.79923734     -1.09374194
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
367   481        -1.74293168      0.48797930     -0.41884639
368   481        -1.77813517      0.44600843     -0.49752668
369   481        -1.81260360      0.48125438     -0.54903155
370   481        -1.82263973      0.57268919     -0.61420588
371   481        -1.82546481      0.61971688     -0.71754192
372   481        -1.83051987      0.61300711     -0.85783388
373   481        -1.82431198      0.65823363     -0.96142892
374   481        -1.81312365      0.75657856     -1.04201868
375   481        -1.82130656      0.85209997     -1.07664792
376   481        -1.84238149      0.86667907     -1.12070520
377   481        -1.87829065      0.80895255     -1.13849617
378   481        -1.92095488      0.77512042     -1.12569994
379   481        -1.96061109      0.79923734     -1.09374194
380   481        -1.97953157      0.82788548     -1.07995806
381   481        -1.97804430      0.83865529     -1.10643595
382   481        -1.95745449      0.81216362     -1.15036643
383   481        -1.94097882      0.75079536     -1.17235748
384   481        -1.92070316      0.65090455     -1.17429597
385   481        -1.90473962      0.57500431     -1.16404245
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
371   481        -1.82546481      0.61971688     -0.71754192
372   481        -1.83051987      0.61300711     -0.85783388
373   481        -1.82431198      0.65823363     -0.96142892
374   481        -1.81312365      0.75657856     -1.04201868
375   481        -1.82130656      0.85209997     -1.07664792
376   481        -1.84238149      0.86667907     -1.12070520
377   481        -1.87829065      0.80895255     -1.13849617
378   481        -1.92095488      0.77512042     -1.12569994
379   481        -1.96061109      0.79923734     -1.09374194
380   481        -1.97953157      0.82788548     -1.07995806
381   481        -1.97804430      0.83865529     -1.10643595
382   481        -1.95745449      0.81216362     -1.15036643
383   481        -1.94097882      0.75079536     -1.17235748
384   481        -1.92070316      0.65090455     -1.17429597
385   481        -1.90473962      0.57500431     -1.16404245
386   481        -1.89868424      0.56931351     -1.12145411
387   481        -1.88499378      0.56475879     -1.06801549
388   481        -1.86170052      0.54053178     -0.99267859
389   481        -1.83718107      0.47476349     -0.95700432
rattaling1 for OH1 ends here
rattling1 for OH1 starts here
392   481        -1.81622553      0.34758328     -0.84011915
393   481        -1.86626970      0.35820984     -0.76631048
394   481        -1.92310043      0.32727622     -0.74771170
395   481        -1.94569400      0.27119221     -0.74368948
396   481        -1.91882194      0.19868706     -0.70927776
397   481        -1.86182169      0.14093130     -0.62823309
398   481        -1.79409010      0.08300750     -0.54930899
399   481        -1.74981425     -0.00100818     -0.50118155
400   481        -1.72384062     -0.07296868     -0.47375980
401   481        -1.71422783     -0.06736576     -0.44263283
402   481        -1.72513835     -0.01121821     -0.42814262
403   481        -1.76243378      0.04376165     -0.45965906
404   481        -1.79415261      0.07831366     -0.50997356
405   481        -1.78660910      0.09598417     -0.54204626
406   481        -1.74267941      0.07838365     -0.56018490
407   481        -1.69217639      0.01078197     -0.58496429
408   481        -1.66841638     -0.05300921     -0.60290798
