Tau,dtime,msd_xx,msd_xy,msd_xz,msd_yy,msd_yz,msd_zz
96.0,0.96,1.355462974978559,0.13669108055105023,-0.060813634082944344,1.4405756511572059,-0.07910606721897034,1.1186312908561848
97.0,0.97,1.571749955244516,0.11648945388005977,-0.008567456783555348,1.4251423979652904,-0.06383844310836649,1.0688813753056454
98.0,0.98,1.6281893962449006,0.12091882686079902,-0.04938468531940492,1.3875251122613428,-0.08294889040511377,1.0693348509569143
99.0,0.99,1.4698807535035785,0.1281296516683363,-0.07936949810470684,1.552778748799053,-0.11156708694838186,1.2127720750302895
100.0,1.0,1.5828625832621914,0.11757052284827553,-0.011902679388823218,1.4577225183058344,-0.07538365928745547,1.108184417746876
101.0,1.01,1.6297533474307695,0.13374503336460533,-0.014417944260611736,1.3840313548157852,-0.023672742920491416,0.992822993666684
102.0,1.02,1.6371366296161822,0.01988558838603514,-0.12757879579887554,1.5923340386055782,-0.048290721625184385,1.18528668319335
103.0,1.03,1.5512373794159704,0.0692897552439999,0.004705023436063712,1.619304095310729,-0.13657775127155247,1.1884823868416576
104.0,1.04,1.5908806979467303,0.0829170909058472,-0.09689648485083258,1.5167945178715057,-0.18093414029724006,1.2707003024774255
105.0,1.05,1.6466595113350506,0.0880863610112843,-0.06627688511806387,1.483606740872661,-0.19931837369010635,1.165172088158218
106.0,1.06,1.4734907829542634,0.14022272277032927,-0.13157034713858065,1.6287280121443863,-0.006258127899247966,1.1434935448658827
107.0,1.07,1.659127339551887,0.15890263915614644,-0.015850860133205517,1.576057094622329,-0.11887127754834738,1.0940586560099606
108.0,1.08,1.6011791219639926,0.1427461685559686,-0.16022123826050338,1.5309970934426806,0.12309514309144567,1.1694067820513514
109.0,1.09,1.7287873297854213,0.17663739204172257,-0.1814737558478133,1.5507708690347017,-0.18313089086847317,1.1839780338944697
110.0,1.1,1.7960319228445434,0.13905231853128122,-0.1949043294152909,1.7537215301492757,-0.1427743094615651,1.1870054037333817
111.0,1.11,1.8018030702565826,0.24369253015422604,-0.18044915799227368,1.4677891884722203,-0.05054512428996606,1.1024119581255287
112.0,1.12,1.6604549074189707,0.18128149387759435,-0.11508305449088335,1.6344581193149075,0.040908043076482464,1.2025193871972235
113.0,1.13,1.6561412395777004,0.17034521304372124,-0.15770337597594555,1.5327008661381143,0.004226801818736395,1.2932254245107637
114.0,1.14,1.7184043581735877,0.27613614882688126,-0.07256971700642248,1.676170614059925,0.09800728776082955,1.1681453361349379
115.0,1.15,1.8796111819687524,0.19074967482830166,-0.1617992979544802,1.628530344820383,-0.18422672309916335,1.2056922092257427
116.0,1.16,1.9255536940364644,0.08011846450270806,-0.1671802643934073,1.800968060243617,-0.14794761746774085,1.2728565729060528
117.0,1.17,1.7458056984137567,0.20289368652216908,-0.08526301126330156,1.7201214271393768,-0.08253470370723735,1.3777638790287376
118.0,1.18,1.8174608627911764,0.10772426704787537,-0.11210548880297042,1.5985542676387292,-0.1566970405595806,1.269744685284693
119.0,1.19,1.8125282703558587,0.10991071407661979,0.0419182167849417,1.6877795207679807,-0.1338259999163856,1.402417597287828
120.0,1.2,1.8675842876503839,0.2012222569405952,-0.08510989864801638,1.928165572582485,0.012876276415381055,1.2474160900935305
121.0,1.21,2.0411378767656347,0.15154471939548236,-0.14388046546008143,1.7978586710225843,-0.049327290044789036,1.1948199506839663
122.0,1.22,1.7025579700960443,0.148724731729743,-0.08647281937871604,2.048337751451862,-0.16514643201723378,1.4054912555978925
123.0,1.23,1.7357830606691977,0.2304336517293039,-0.07192963232991584,1.888708924374094,-0.047171513873310034,1.2204276722155578
124.0,1.24,1.7686441155587143,0.08857664135234648,-0.14627935076247783,1.9121147724099392,-0.0925367185223122,1.4249902924990203
125.0,1.25,1.9783976300408856,0.2679144485324752,-0.13636908199034647,1.8432515111106027,-0.0873569514044243,1.4809018713650308
126.0,1.26,1.9811901773035714,0.19765893414995553,-0.182350161078232,1.7435007420393516,-0.08702696621681164,1.5157257123612145
127.0,1.27,1.9358193806287953,0.19996576619599052,-0.1086618345503458,1.7853180590395135,-0.14152772351775186,1.4423678642307616
128.0,1.28,1.9019850496307635,0.19749694174717156,-0.028127225635047513,1.912728632036975,0.08571648565086558,1.506080320415901
129.0,1.29,1.8386193360833105,0.1433401618418204,-0.15205998984716407,2.1232066648405152,-0.0916591427040603,1.3220462360236622
130.0,1.3,1.9687015728089619,0.255081343622179,-0.05890584342193624,1.9848882636056,-0.1622681350199235,1.3597143175555304
131.0,1.31,1.9733340794107788,0.1662080344105712,-0.1579078414651852,2.250652022547873,-0.07903308646542476,1.3556529097651295
132.0,1.32,2.2325021803878227,0.2191969892049885,-0.1401955067053882,2.015392102350978,-0.15749770915012995,1.540559782559902
133.0,1.33,2.3384527718585773,0.14799568290409024,0.0005733982384620351,2.2233062111297626,-0.12255713436184643,1.2777730685513118
134.0,1.34,2.2101974673499805,0.267508559466304,-0.15865306022871944,2.008714605119938,-0.07517925458075352,1.4733663262603673
135.0,1.35,2.1081998413267273,0.17807146123911002,0.0030422405140310806,1.922718362801441,-0.07364270913450313,1.0579277086714185
136.0,1.36,2.253106955243136,0.156053142238843,-0.09938459116726762,1.9902229587356641,-0.015922247063438956,1.5719979971558413
137.0,1.37,2.2188718458364183,0.26878443976036365,0.04163480680485215,2.066539587437356,0.07036142759851488,1.407528243271935
138.0,1.38,2.2979061556616096,0.25998872112265375,-0.047033690470026666,2.0458509331302035,-0.08675719004088993,1.4675308655778294
139.0,1.39,2.3762029504860522,0.18979340181588258,-0.15625272505125085,2.056959935358573,0.01124022109191023,1.4104486293202112
140.0,1.4,2.246570502967308,0.16034296711720541,-0.12709607023448435,2.234640491635032,-0.07477330508656248,1.2447512335026354
