MD Temperature:                      0.0010048294 H          317.2997 K
MD Temperature:                      0.0010169582 H          321.1296 K
MD Temperature:                      0.0010195316 H          321.9422 K
MD Temperature:                      0.0010135513 H          320.0538 K
MD Temperature:                      0.0010096712 H          318.8286 K
MD Temperature:                      0.0010096550 H          318.8234 K
MD Temperature:                      0.0010031930 H          316.7829 K
MD Temperature:                      0.0009864825 H          311.5062 K
MD Temperature:                      0.0009692188 H          306.0547 K
MD Temperature:                      0.0009613278 H          303.5629 K
MD Temperature:                      0.0009599871 H          303.1396 K
MD Temperature:                      0.0009549444 H          301.5472 K
MD Temperature:                      0.0009453277 H          298.5105 K
MD Temperature:                      0.0009405951 H          297.0161 K
MD Temperature:                      0.0009428560 H          297.7300 K
MD Temperature:                      0.0009422172 H          297.5283 K
MD Temperature:                      0.0009340255 H          294.9416 K
MD Temperature:                      0.0009256612 H          292.3003 K
MD Temperature:                      0.0009243268 H          291.8790 K
MD Temperature:                      0.0009267281 H          292.6372 K
MD Temperature:                      0.0009265042 H          292.5665 K
MD Temperature:                      0.0009250505 H          292.1075 K
MD Temperature:                      0.0009279335 H          293.0179 K
MD Temperature:                      0.0009348429 H          295.1997 K
MD Temperature:                      0.0009397026 H          296.7343 K
MD Temperature:                      0.0009393100 H          296.6103 K
MD Temperature:                      0.0009363351 H          295.6709 K
MD Temperature:                      0.0009347983 H          295.1856 K
MD Temperature:                      0.0009348799 H          295.2114 K
MD Temperature:                      0.0009348064 H          295.1882 K
MD Temperature:                      0.0009338006 H          294.8706 K
MD Temperature:                      0.0009314125 H          294.1164 K
MD Temperature:                      0.0009276937 H          292.9422 K
MD Temperature:                      0.0009237232 H          291.6884 K
MD Temperature:                      0.0009191929 H          290.2578 K
MD Temperature:                      0.0009128657 H          288.2598 K
MD Temperature:                      0.0009052614 H          285.8586 K
MD Temperature:                      0.0008984429 H          283.7055 K
MD Temperature:                      0.0008935199 H          282.1509 K
MD Temperature:                      0.0008883503 H          280.5185 K
MD Temperature:                      0.0008814028 H          278.3247 K
MD Temperature:                      0.0008772743 H          277.0210 K
MD Temperature:                      0.0008801268 H          277.9217 K
MD Temperature:                      0.0008845064 H          279.3047 K
MD Temperature:                      0.0008841016 H          279.1769 K
MD Temperature:                      0.0008822564 H          278.5942 K
MD Temperature:                      0.0008857215 H          279.6884 K
MD Temperature:                      0.0008942397 H          282.3782 K
MD Temperature:                      0.0009015722 H          284.6937 K
MD Temperature:                      0.0009058699 H          286.0507 K
MD Temperature:                      0.0009135571 H          288.4782 K
MD Temperature:                      0.0009277019 H          292.9448 K
MD Temperature:                      0.0009414081 H          297.2728 K
MD Temperature:                      0.0009506886 H          300.2034 K
MD Temperature:                      0.0009604595 H          303.2888 K
MD Temperature:                      0.0009743095 H          307.6622 K
MD Temperature:                      0.0009879141 H          311.9582 K
MD Temperature:                      0.0009960040 H          314.5128 K
MD Temperature:                      0.0010011362 H          316.1334 K
MD Temperature:                      0.0010104335 H          319.0693 K
MD Temperature:                      0.0010218730 H          322.6816 K
MD Temperature:                      0.0010260513 H          324.0010 K
MD Temperature:                      0.0010245495 H          323.5268 K
MD Temperature:                      0.0010284973 H          324.7734 K
MD Temperature:                      0.0010402328 H          328.4792 K
MD Temperature:                      0.0010501459 H          331.6095 K
MD Temperature:                      0.0010525892 H          332.3810 K
MD Temperature:                      0.0010545531 H          333.0011 K
MD Temperature:                      0.0010629883 H          335.6648 K
MD Temperature:                      0.0010692799 H          337.6515 K
MD Temperature:                      0.0010629876 H          335.6645 K
MD Temperature:                      0.0010517818 H          332.1260 K
MD Temperature:                      0.0010478609 H          330.8879 K
MD Temperature:                      0.0010476760 H          330.8295 K
MD Temperature:                      0.0010399693 H          328.3959 K
MD Temperature:                      0.0010250420 H          323.6823 K
MD Temperature:                      0.0010143273 H          320.2988 K
MD Temperature:                      0.0010114728 H          319.3975 K
MD Temperature:                      0.0010043750 H          317.1562 K
MD Temperature:                      0.0009868471 H          311.6213 K
MD Temperature:                      0.0009709685 H          306.6073 K
MD Temperature:                      0.0009657144 H          304.9481 K
MD Temperature:                      0.0009625598 H          303.9520 K
MD Temperature:                      0.0009513599 H          300.4153 K
MD Temperature:                      0.0009360924 H          295.5942 K
